"t_uv_nom","ID_Barrio"
"032R","001"
"033R","002"
"034R","003"
"035R","004"
"036R","005"
"055R","006"
"ABATE MOLINA","007"
"ARTURO PRAT","008"
"ASTABURUAGA","009"
"AURORA DE CHILE","010"
"BUEN PASTOR","011"
"CANCHA RAYADA","012"
"CARLOS TRUPP","013"
"CHILE ESPANA","014"
"CHORRILLOS","015"
"COSTANERA","016"
"CRISTI GALLO","017"
"EDEN","018"
"EL ESFUERZO","019"
"ESTACION","020"
"GENERAL URRUTIA","021"
"HERMANOS CARRERA","022"
"HOSPITAL","023"
"IGNAVIO CARRERA PINTO","024"
"INDEPENDENCIA","025"
"JOSE IGNACIO CIENFUE","026"
"LA FLORIDA","027"
"LA VEGA","028"
"LAS BRISAS DEL CLARO","029"
"LAS HERAS","030"
"LONGITUDINAL ORIENTE","031"
"LOS MAQUIS","032"
"MAGISTERIO","033"
"MANSO DE VELASCO","034"
"MAQUEHUA","035"
"MERCADO","036"
"MIGUEL RAFAEL PRADO","037"
"NAZARETH","038"
"OHIGGINS","039"
"ORIENTE","040"
"PASO MOYA","041"
"PIDUCO","042"
"PLAZA DE ARMAS","043"
"PORTALES","044"
"PROSPERIDAD","045"
"RENE SCHNEIDER","046"
"SAN MIGUEL","047"
"SANTA ANA","048"
"SEGUNDO DANIEL REBOL","049"
"SEMINARIO","050"
"UNIVERSIDAD","051"
"VAROLI","052"
"VILLA EL SOL","053"
"VILLA LA PAZ","054"
"VILLA SUR","055"
